醫事機構代碼,x,y
5901153656,121.531987,25.108898
5901153674,121.521473,25.088501
5901153683,121.50993,25.080338
5901153709,121.532884,25.109385
5901153727,121.522049,25.084599
5901153745,121.532774,25.118845
5901153790,121.530433,25.114834
5901153807,121.4976959,25.1241626
5901153825,121.525679,25.090366
5901153861,121.525201,25.107586
5901153898,121.523999,25.097788
5901153905,121.52273,25.10357
5901160044,121.510583,25.113296
5901160053,121.515514,25.111917
5901160062,121.515266,25.110859
5901160099,121.520643,25.110862
5901160142,121.516957,25.116039
5901160197,121.516637,25.11792
5901160222,121.46682,25.119351
5901160277,121.502671,25.13538
5901160286,121.469233,25.128426
5901160400,121.467147,25.121299
5901160428,121.508067,25.126124
5901160517,121.519338,25.112188
5901160562,121.51991,25.112307
5901160704,121.501464,25.131564
5901160802,121.519606,25.109399
5901161890,121.50039,25.140466
5901161934,121.499763,25.141079
5901162002,121.507721,25.114872
5901162119,121.507285,25.117069
5901162306,121.499671,25.140969
5901162459,121.516064,25.111205
5901162477,121.515426,25.110738
5901162780,121.515314,25.114287
5901162806,121.503294,25.135663
5901162833,121.525885,25.123618
5901162879,121.501704,25.130443
5901163107,121.514979,25.112622
5901163152,121.5161393,25.1187098
5901163214,121.501195,25.130151
5901163250,121.467068,25.120736
5901163296,121.508706,25.115209
5901163330,121.467192,25.122143
5901163376,121.501126,25.131345
5901163394,121.514917,25.110439
5901163465,121.484736,25.137848
5901163492,121.502694,25.135083
5901163509,121.506816,25.118509
5901163527,121.513104,25.114259
5901163536,121.51802,25.118482
5901163545,121.501427,25.13192
5901170022,121.585437,25.04033
5901170139,121.564349,25.026558
5901170184,121.582336,25.041359
5901170255,121.577073,25.046042
5901170264,121.575298,25.039756
5901170335,121.577657,25.04256
5901170406,121.565336,25.042216
5901170433,121.578132,25.045264
5901170442,121.560631,25.030562
5901170648,121.577991,25.041443
5901170906,121.564193,25.026581
5901172179,121.576883,25.03844
5901172197,121.576322,25.04069
5901172213,121.576905,25.043348
5901172268,121.578889,25.037927
5901172508,121.566199,25.027156
5901172544,121.58474,25.038409
5901172580,121.585857,25.038739
5901172651,121.58736,25.039306
5901172688,121.581312,25.04248
5901172697,121.563492,25.02745
5901172704,121.575391,25.045069
5901172740,121.562088,25.029598
5901172820,121.568544,25.042657
5901172857,121.573871,25.045715
5901172924,121.568769,25.026174
5901172933,121.575287,25.037516
5901172964,121.558151,25.036586
5901173041,121.577633,25.045088
5901173050,121.575546,25.044574
5901173176,121.578304,25.03965
5901173201,121.564342,25.027716
5901173210,121.554199,25.024363
5901173238,121.563422,25.027818
5901173283,121.579164,25.037413
5901173292,121.577035,25.044478
5901173372,121.575264,25.041263
5901173407,121.569529,25.023807
5901173587,121.568867,25.043241
5901173603,121.5744731,25.038952
5901173658,121.577271,25.043337
5901173694,121.55643,25.021273
5901173710,121.55767,25.033837
5901173738,121.576721,25.039594
5901173783,121.563734,25.027152
5901173818,121.567728,25.026719
5901173836,121.565799,25.041945
5901173854,121.581566,25.0434
5901173863,121.559898,25.030065
5901180037,121.527151,25.041623
5901180055,121.507648,25.030256
5901180162,121.528648,25.040859
5901180206,121.532552,25.03969
5901180215,121.512629,25.042206
5901180224,121.530298,25.016545
5901180304,121.526974,25.035454
5901180322,121.517374,25.030859
5901180368,121.530123,25.016667
5901182031,121.518219,25.033161
5901182068,121.506761,25.029993
5901182086,121.507847,25.034869
5901182111,121.53003,25.016732
5901182219,121.530161,25.03436
5901182228,121.512863,25.042207
5901182255,121.5153139,25.0243715
5901183323,121.506373,25.035081
5901183510,121.523719,25.022361
5901183529,121.511622,25.026916
5901183798,121.516857,25.044481
5901183823,121.518719,25.029353
5901183887,121.51118,25.042998
5901183985,121.514232,25.045074
5901184062,121.512123,25.044156
5901184071,121.509609,25.024901
5901184106,121.518592,25.029532
5901184179,121.50425,25.031013
5901184213,121.526396,25.034666
5901184222,121.510947,25.027356
5901184240,121.532613,25.043226
5901184259,121.533654,25.014199
5901184366,121.50612,25.028127
5901184375,121.510536,25.046451
5901184446,121.518182,25.044913
5901184455,121.517812,25.030574
5901184473,121.515538,25.043496
5901184491,121.507363,25.034835
5901184517,121.527302,25.035377
5901184535,121.520214,25.031752
5901190024,121.494213,25.027528
5901190033,121.497344,25.024189
5901190042,121.495555,25.01695
5901190060,121.506147,25.046693
5901190079,121.501611,25.019874
5901190104,121.497508,25.035806
5901190177,121.500693,25.02336
5901190211,121.499962,25.026277
5901190220,121.5025,25.039949
5901190284,121.493256,25.033961
5901190408,121.504577,25.042162
5901190426,121.501626,25.02279
5901190444,121.49466,25.027909
5901190515,121.501637,25.036538
5901190668,121.500258,25.024953
5901190686,121.505163,25.025812
5901190695,121.493851,25.032117
5901190784,121.498523,25.021778
5901192126,121.4975,25.035693
5901192144,121.501194,25.035644
5901192162,121.494772,25.025293
5901192233,121.501409,25.035661
5901192448,121.491923,25.032465
5901192546,121.494581,25.027843
5901192822,121.505129,25.040617
5901192877,121.494771,25.028003
5901192975,121.500316,25.026261
5901193070,121.500595,25.026491
5901193132,121.500654,25.037227
5901193169,121.501673,25.029443
5901193196,121.504164,25.025504
5901193221,121.5064,25.027076
5901193230,121.492039,25.032592
5901193249,121.498545,25.038917
5901200070,121.546206,24.986678
5901200105,121.56097,24.988889
5901200114,121.544838,24.997171
5901200123,121.53934,24.99512
5901200141,121.541192,24.990331
5901200187,121.55582,24.980345
5901200490,121.544901,24.998749
5901201540,121.552442,25.001481
5901201568,121.561325,24.985142
5901201746,121.547878,24.996932
5901201826,121.547004,24.999517
5901201871,121.539844,24.991001
5901202047,121.547763,24.999554
5901202216,121.562067,24.989007
5901202396,121.538293,25.002027
5901202583,121.541346,24.990929
5901202645,121.558797,24.993124
5901202654,121.538448,25.003221
5901202681,121.569669,24.986829
5901202789,121.56864,24.988719
5901202841,121.541428,24.991258
5901202850,121.564164,24.98236
5901202958,121.57064,25.00139
5901202976,121.548056,25.000112
5901203026,121.557261,24.99932
5901203044,121.559834,24.981397
5901203062,121.554979,25.000878
5901203071,121.545041,24.995242
5901203080,121.567356,24.988605
5901203106,121.560676,24.984259
5901203124,121.550456,25.00345
5901203160,121.55218,25.000216
5901203179,121.544663,24.993463
5901203188,121.538756,25.001973
5901203204,121.556873,24.99958
5901203213,121.55833,25.000305
5901203222,121.539644,24.999783
5901203240,121.567524,24.983443
5901203268,121.569489,24.987559
5901203286,121.559015,24.997786
5901203295,121.57422,24.987838
5901203339,121.544818,24.994962
5901203366,121.567597,24.988655
5902010016,120.284285,22.625983
5902010025,120.283992,22.632791
5902011291,120.283367,22.623469
5902020012,120.280173,22.664535
5902021153,120.295891,22.669356
5902021233,120.293689,22.669651
5902021331,120.28097,22.636998
5902022669,120.279313,22.658698
5902022687,120.30031,22.664282
5902022794,120.279157,22.659388
5902022801,120.295117,22.664791
5902022829,120.275707,22.654681
5902022874,120.293466,22.666473
5902022892,120.300438,22.664705
5902022972,120.27929,22.654661
5902030063,120.30412,22.675352
5902030205,120.288358,22.670632
5902030269,120.305805,22.664576
5902030312,120.287572,22.681086
5902030410,120.293471,22.687252
5902030634,120.321599,22.679345
5902030643,120.320113,22.682555
5902031882,120.302687,22.67903
5902031999,120.286872,22.66964
5902032174,120.289323,22.672768
5902032218,120.303724,22.675602
5902032227,120.313552,22.678037
5902032370,120.305499,22.663184
5902032441,120.288936,22.672196
5902032450,120.320528,22.683584
5902032487,120.309029,22.659541
5902032530,120.286946,22.6703
5902032647,120.306759,22.659096
5902032665,120.303634,22.656475
5902032674,120.305364,22.660691
5902040014,120.330067,22.729657
5902040041,120.328582,22.730256
5902040050,120.336988,22.73691
5902040069,120.289537,22.711935
5902040087,120.326168,22.725314
5902040112,120.324682,22.727312
5902040158,120.326103,22.727156
5902040210,120.328771,22.726694
5902040229,120.306775,22.726939
5902040498,120.293949,22.707167
5902040532,120.293015,22.707787
5902041226,120.293045,22.707073
5902042269,120.337193,22.737497
5902042376,120.296194,22.722367
5902042447,120.288936,22.711535
5902042474,120.297139,22.718865
5902042492,120.324405,22.738119
5902042563,120.292196,22.717185
5902042657,120.296057,22.709029
5902042661,120.29401,22.711088
5902042769,120.2917,22.718437
5902050092,120.34406,22.644805
5902050154,120.310827,22.644748
5902050298,120.335194,22.643008
5902050323,120.32089,22.671893
5902050350,120.324091,22.647404
5902050378,120.300957,22.647659
